Name,Photo,Overall,Potential,Value,Wage,Age,Height,InternationalReputation
L. Messi,https://cdn.sofifa.org/players/4/19/158023.png,94,94,110.5,565,31,5'7,5
Cristiano Ronaldo,https://cdn.sofifa.org/players/4/19/20801.png,94,94,77,405,33,6'2,5
Neymar Jr,https://cdn.sofifa.org/players/4/19/190871.png,92,93,118.5,290,26,5'9,5
De Gea,https://cdn.sofifa.org/players/4/19/193080.png,91,93,72,260,27,6'4,4
K. De Bruyne,https://cdn.sofifa.org/players/4/19/192985.png,91,92,102,355,27,5'11,4
E. Hazard,https://cdn.sofifa.org/players/4/19/183277.png,91,91,93,340,27,5'8,4
L. Modrić,https://cdn.sofifa.org/players/4/19/177003.png,91,91,67,420,32,5'8,4
L. Suárez,https://cdn.sofifa.org/players/4/19/176580.png,91,91,80,455,31,6'0,5
Sergio Ramos,https://cdn.sofifa.org/players/4/19/155862.png,91,91,51,380,32,6'0,4
J. Oblak,https://cdn.sofifa.org/players/4/19/200389.png,90,93,68,94,25,6'2,3
R. Lewandowski,https://cdn.sofifa.org/players/4/19/188545.png,90,90,77,205,29,6'0,4
T. Kroos,https://cdn.sofifa.org/players/4/19/182521.png,90,90,76.5,355,28,6'0,4
D. Godín,https://cdn.sofifa.org/players/4/19/182493.png,90,90,44,125,32,6'2,3
David Silva,https://cdn.sofifa.org/players/4/19/168542.png,90,90,60,285,32,5'8,4
N. Kanté,https://cdn.sofifa.org/players/4/19/215914.png,89,90,63,225,27,5'6,3
P. Dybala,https://cdn.sofifa.org/players/4/19/211110.png,89,94,89,205,24,5'10,3
H. Kane,https://cdn.sofifa.org/players/4/19/202126.png,89,91,83.5,205,24,6'2,3
A. Griezmann,https://cdn.sofifa.org/players/4/19/194765.png,89,90,78,145,27,5'9,4
M. ter Stegen,https://cdn.sofifa.org/players/4/19/192448.png,89,92,58,240,26,6'2,3
T. Courtois,https://cdn.sofifa.org/players/4/19/192119.png,89,90,53.5,240,26,6'6,4
Sergio Busquets,https://cdn.sofifa.org/players/4/19/189511.png,89,89,51.5,315,29,6'2,4
E. Cavani,https://cdn.sofifa.org/players/4/19/179813.png,89,89,60,200,31,6'1,4
M. Neuer,https://cdn.sofifa.org/players/4/19/167495.png,89,89,38,130,32,6'4,5
S. Agüero,https://cdn.sofifa.org/players/4/19/153079.png,89,89,64.5,300,30,5'8,4
G. Chiellini,https://cdn.sofifa.org/players/4/19/138956.png,89,89,27,215,33,6'2,4
K. Mbappé,https://cdn.sofifa.org/players/4/19/231747.png,88,95,81,100,19,5'10,3
M. Salah,https://cdn.sofifa.org/players/4/19/209331.png,88,89,69.5,255,26,5'9,3
Casemiro,https://cdn.sofifa.org/players/4/19/200145.png,88,90,59.5,285,26,6'1,3
J. Rodríguez,https://cdn.sofifa.org/players/4/19/198710.png,88,89,69.5,315,26,5'11,4
L. Insigne,https://cdn.sofifa.org/players/4/19/198219.png,88,88,62,165,27,5'4,3
Isco,https://cdn.sofifa.org/players/4/19/197781.png,88,91,73.5,315,26,5'9,3
C. Eriksen,https://cdn.sofifa.org/players/4/19/190460.png,88,91,73.5,205,26,5'11,3
Coutinho,https://cdn.sofifa.org/players/4/19/189242.png,88,89,69.5,340,26,5'8,3
P. Aubameyang,https://cdn.sofifa.org/players/4/19/188567.png,88,88,59,265,29,6'2,3
M. Hummels,https://cdn.sofifa.org/players/4/19/178603.png,88,88,46,160,29,6'3,4
Marcelo,https://cdn.sofifa.org/players/4/19/176676.png,88,88,43,285,30,5'9,4
G. Bale,https://cdn.sofifa.org/players/4/19/173731.png,88,88,60,355,28,6'1,4
H. Lloris,https://cdn.sofifa.org/players/4/19/167948.png,88,88,36,150,31,6'2,4
G. Higuaín,https://cdn.sofifa.org/players/4/19/167664.png,88,88,57,245,30,6'1,4
Thiago Silva,https://cdn.sofifa.org/players/4/19/164240.png,88,88,24,165,33,6'0,4
S. Handanovič,https://cdn.sofifa.org/players/4/19/162835.png,88,88,30,110,33,6'4,3
G. Buffon,https://cdn.sofifa.org/players/4/19/1179.png,88,88,4,77,40,6'4,4
S. Umtiti,https://cdn.sofifa.org/players/4/19/205600.png,87,92,57,205,24,6'0,3
M. Icardi,https://cdn.sofifa.org/players/4/19/201399.png,87,90,64.5,130,25,5'11,3
K. Koulibaly,https://cdn.sofifa.org/players/4/19/201024.png,87,90,51,115,27,6'2,3
P. Pogba,https://cdn.sofifa.org/players/4/19/195864.png,87,91,64,210,25,6'4,4
