Name,Photo,Age,Overall,Potential,Marking,StandingTackle,SlidingTackle,HeadingAccuracy,Dribbling,Curve,BallControl,Aggression,Interceptions,Positioning,Vision,Composure,Crossing,ShortPassing,LongPassing,Acceleration,SprintSpeed,Agility,Reactions,Balance,Jumping,Stamina,Strength,Finishing,Volleys,FKAccuracy,ShotPower,LongShots,Penalties,InternationalReputation,Defending,General,Mental,Passing,Mobility,Power,Rating,Shooting
L. Messi,https://cdn.sofifa.org/players/4/19/158023.png,31,94,94,33,28,26,70,97,93,96,48,22,94,94,96,84,90,87,91,86,91,95,95,68,72,59,95,86,94,85,94,75,5,29,89,70.8,87,90.75,73.5,94,88.16666666666667
Cristiano Ronaldo,https://cdn.sofifa.org/players/4/19/20801.png,33,94,94,28,31,23,89,88,81,94,63,29,95,82,95,84,81,77,89,91,87,96,70,95,88,79,94,87,76,95,93,85,5,27.333333333333332,88,72.8,80.66666666666667,90.75,83,94,88.33333333333333
Neymar Jr,https://cdn.sofifa.org/players/4/19/190871.png,26,92,93,27,24,33,62,96,88,95,56,36,89,87,94,79,84,78,94,90,96,94,84,61,81,49,87,84,87,80,82,81,5,28,85.25,72.4,80.33333333333333,93.5,68.75,92.5,83.5
De Gea,https://cdn.sofifa.org/players/4/19/193080.png,27,91,93,15,21,13,21,18,21,42,38,30,12,68,68,17,50,51,57,58,60,90,43,67,43,64,13,13,19,31,12,40,4,16.333333333333332,25.5,43.2,39.333333333333336,66.25,54.25,92,21.333333333333332
K. De Bruyne,https://cdn.sofifa.org/players/4/19/192985.png,27,91,92,68,58,51,55,86,85,91,76,61,87,94,88,93,92,91,78,76,79,91,77,63,90,75,82,82,83,91,91,79,4,59,79.25,81.2,92,81,76.25,91.5,84.66666666666667
E. Hazard,https://cdn.sofifa.org/players/4/19/183277.png,27,91,91,34,27,22,61,95,83,94,54,41,87,89,91,81,89,83,94,88,95,90,94,56,83,66,84,80,79,82,80,86,4,27.666666666666668,83.25,72.4,84.33333333333333,91.75,74.75,91,81.83333333333333
L. Modrić,https://cdn.sofifa.org/players/4/19/177003.png,32,91,91,60,76,73,55,90,85,93,62,83,79,92,84,86,93,88,80,72,93,90,94,68,89,58,72,76,78,79,82,82,4,69.66666666666667,80.75,80,89,83.75,77.25,91,78.16666666666667
L. Suárez,https://cdn.sofifa.org/players/4/19/176580.png,31,91,91,62,45,38,77,87,86,90,87,41,92,84,85,77,82,64,86,75,82,92,83,69,90,83,93,88,84,86,85,85,5,48.333333333333336,85,77.8,74.33333333333333,83.75,81.25,91,86.83333333333333
Sergio Ramos,https://cdn.sofifa.org/players/4/19/155862.png,32,91,91,87,92,91,91,63,74,84,88,90,60,63,82,66,78,77,76,75,78,85,66,93,84,83,60,66,72,79,59,75,4,90,78,76.6,73.66666666666667,78.5,81.5,91,68.5
J. Oblak,https://cdn.sofifa.org/players/4/19/200389.png,25,90,93,27,12,18,15,12,13,16,34,19,11,70,70,13,29,26,43,60,67,86,49,76,41,78,11,13,14,22,12,11,3,19,14,40.8,22.666666666666668,64,61,91.5,13.833333333333334
R. Lewandowski,https://cdn.sofifa.org/players/4/19/188545.png,29,90,90,34,42,19,85,85,77,89,80,39,91,77,86,62,83,65,77,78,78,90,78,84,78,84,91,89,86,88,84,88,4,31.666666666666668,84,74.6,70,80.75,81,90,87.66666666666667
T. Kroos,https://cdn.sofifa.org/players/4/19/182521.png,28,90,90,72,79,69,54,81,86,90,60,82,79,86,85,88,92,93,64,62,70,89,71,30,75,73,76,82,84,87,92,73,4,73.33333333333333,77.75,78.4,91,71.25,62.25,90,82.33333333333333
D. Godín,https://cdn.sofifa.org/players/4/19/182493.png,32,90,90,90,89,89,92,53,49,76,89,88,48,52,82,55,79,70,68,68,58,85,54,91,66,88,42,47,51,67,43,50,3,89.33333333333333,67.5,71.8,68,69.75,74.75,90,50
David Silva,https://cdn.sofifa.org/players/4/19/168542.png,32,90,90,59,53,29,54,89,82,94,57,50,89,92,93,84,93,87,70,64,92,90,90,64,78,52,76,82,77,72,75,75,4,47,79.75,76.2,88,79,71,90,76.16666666666667
N. Kanté,https://cdn.sofifa.org/players/4/19/215914.png,27,89,90,90,91,85,54,79,49,80,90,92,71,79,85,68,86,81,82,78,82,93,92,77,96,76,65,56,49,71,69,54,3,88.66666666666667,65.5,83.4,78.33333333333333,83.75,85.25,89.5,60.666666666666664
P. Dybala,https://cdn.sofifa.org/players/4/19/211110.png,24,89,94,23,20,20,68,92,88,92,48,32,84,87,84,82,87,75,87,83,91,86,85,75,80,65,84,88,88,82,88,86,3,21,85,67,81.33333333333333,86.75,76.25,91.5,86
H. Kane,https://cdn.sofifa.org/players/4/19/202126.png,24,89,91,56,36,38,85,80,78,84,76,35,93,80,89,75,80,82,68,72,71,91,71,78,89,84,94,84,68,88,85,90,3,43.333333333333336,81.75,74.6,79,75.5,80.5,90,84.83333333333333
A. Griezmann,https://cdn.sofifa.org/players/4/19/194765.png,27,89,90,59,47,48,84,88,84,90,69,35,91,83,87,82,83,76,88,85,90,90,80,90,83,62,90,87,78,80,82,79,4,51.333333333333336,86.5,73,80.33333333333333,88.25,78.75,89.5,82.66666666666667
M. ter Stegen,https://cdn.sofifa.org/players/4/19/192448.png,26,89,92,25,13,10,11,17,18,18,43,22,11,69,69,15,36,42,38,50,37,85,43,79,35,79,14,14,12,22,10,25,3,16,16,42.8,31,52.5,59,90.5,16.166666666666668
