Nationality,Name,Photo,Club,Wage,Overall
Argentina,L. Messi,https://cdn.sofifa.org/players/4/19/158023.png,FC Barcelona,€565K,94
Portugal,Cristiano Ronaldo,https://cdn.sofifa.org/players/4/19/20801.png,Juventus,€405K,94
Brazil,Neymar Jr,https://cdn.sofifa.org/players/4/19/190871.png,Paris Saint-Germain,€290K,92
Spain,De Gea,https://cdn.sofifa.org/players/4/19/193080.png,Manchester United,€260K,91
Belgium,K. De Bruyne,https://cdn.sofifa.org/players/4/19/192985.png,Manchester City,€355K,91
Belgium,E. Hazard,https://cdn.sofifa.org/players/4/19/183277.png,Chelsea,€340K,91
Croatia,L. Modrić,https://cdn.sofifa.org/players/4/19/177003.png,Real Madrid,€420K,91
Uruguay,L. Suárez,https://cdn.sofifa.org/players/4/19/176580.png,FC Barcelona,€455K,91
Spain,Sergio Ramos,https://cdn.sofifa.org/players/4/19/155862.png,Real Madrid,€380K,91
Slovenia,J. Oblak,https://cdn.sofifa.org/players/4/19/200389.png,Atlético Madrid,€94K,90
Poland,R. Lewandowski,https://cdn.sofifa.org/players/4/19/188545.png,FC Bayern München,€205K,90
Germany,T. Kroos,https://cdn.sofifa.org/players/4/19/182521.png,Real Madrid,€355K,90
Uruguay,D. Godín,https://cdn.sofifa.org/players/4/19/182493.png,Atlético Madrid,€125K,90
Spain,David Silva,https://cdn.sofifa.org/players/4/19/168542.png,Manchester City,€285K,90
France,N. Kanté,https://cdn.sofifa.org/players/4/19/215914.png,Chelsea,€225K,89
Argentina,P. Dybala,https://cdn.sofifa.org/players/4/19/211110.png,Juventus,€205K,89
England,H. Kane,https://cdn.sofifa.org/players/4/19/202126.png,Tottenham Hotspur,€205K,89
France,A. Griezmann,https://cdn.sofifa.org/players/4/19/194765.png,Atlético Madrid,€145K,89
Germany,M. ter Stegen,https://cdn.sofifa.org/players/4/19/192448.png,FC Barcelona,€240K,89
Belgium,T. Courtois,https://cdn.sofifa.org/players/4/19/192119.png,Real Madrid,€240K,89
Spain,Sergio Busquets,https://cdn.sofifa.org/players/4/19/189511.png,FC Barcelona,€315K,89
Uruguay,E. Cavani,https://cdn.sofifa.org/players/4/19/179813.png,Paris Saint-Germain,€200K,89
Germany,M. Neuer,https://cdn.sofifa.org/players/4/19/167495.png,FC Bayern München,€130K,89
Argentina,S. Agüero,https://cdn.sofifa.org/players/4/19/153079.png,Manchester City,€300K,89
Italy,G. Chiellini,https://cdn.sofifa.org/players/4/19/138956.png,Juventus,€215K,89
France,K. Mbappé,https://cdn.sofifa.org/players/4/19/231747.png,Paris Saint-Germain,€100K,88
Egypt,M. Salah,https://cdn.sofifa.org/players/4/19/209331.png,Liverpool,€255K,88
Brazil,Casemiro,https://cdn.sofifa.org/players/4/19/200145.png,Real Madrid,€285K,88
Colombia,J. Rodríguez,https://cdn.sofifa.org/players/4/19/198710.png,FC Bayern München,€315K,88
Italy,L. Insigne,https://cdn.sofifa.org/players/4/19/198219.png,Napoli,€165K,88
Spain,Isco,https://cdn.sofifa.org/players/4/19/197781.png,Real Madrid,€315K,88
Denmark,C. Eriksen,https://cdn.sofifa.org/players/4/19/190460.png,Tottenham Hotspur,€205K,88
Brazil,Coutinho,https://cdn.sofifa.org/players/4/19/189242.png,FC Barcelona,€340K,88
Gabon,P. Aubameyang,https://cdn.sofifa.org/players/4/19/188567.png,Arsenal,€265K,88
Germany,M. Hummels,https://cdn.sofifa.org/players/4/19/178603.png,FC Bayern München,€160K,88
Brazil,Marcelo,https://cdn.sofifa.org/players/4/19/176676.png,Real Madrid,€285K,88
Wales,G. Bale,https://cdn.sofifa.org/players/4/19/173731.png,Real Madrid,€355K,88
France,H. Lloris,https://cdn.sofifa.org/players/4/19/167948.png,Tottenham Hotspur,€150K,88
Argentina,G. Higuaín,https://cdn.sofifa.org/players/4/19/167664.png,Milan,€245K,88
Brazil,Thiago Silva,https://cdn.sofifa.org/players/4/19/164240.png,Paris Saint-Germain,€165K,88
Slovenia,S. Handanovič,https://cdn.sofifa.org/players/4/19/162835.png,Inter,€110K,88
Italy,G. Buffon,https://cdn.sofifa.org/players/4/19/1179.png,Paris Saint-Germain,€77K,88
France,S. Umtiti,https://cdn.sofifa.org/players/4/19/205600.png,FC Barcelona,€205K,87
Argentina,M. Icardi,https://cdn.sofifa.org/players/4/19/201399.png,Inter,€130K,87
Senegal,K. Koulibaly,https://cdn.sofifa.org/players/4/19/201024.png,Napoli,€115K,87
France,P. Pogba,https://cdn.sofifa.org/players/4/19/195864.png,Manchester United,€210K,87
Costa Rica,K. Navas,https://cdn.sofifa.org/players/4/19/193041.png,Real Madrid,€195K,87
Belgium,R. Lukaku,https://cdn.sofifa.org/players/4/19/192505.png,Manchester United,€230K,87
Italy,C. Immobile,https://cdn.sofifa.org/players/4/19/192387.png,Lazio,€115K,87
Spain,Jordi Alba,https://cdn.sofifa.org/players/4/19/189332.png,FC Barcelona,€250K,87
Belgium,D. Mertens,https://cdn.sofifa.org/players/4/19/175943.png,Napoli,€135K,87
Belgium,J. Vertonghen,https://cdn.sofifa.org/players/4/19/172871.png,Tottenham Hotspur,€155K,87
Slovakia,M. Hamšík,https://cdn.sofifa.org/players/4/19/171877.png,Napoli,€125K,87
Croatia,I. Rakitić,https://cdn.sofifa.org/players/4/19/168651.png,FC Barcelona,€260K,87
Spain,Piqué,https://cdn.sofifa.org/players/4/19/152729.png,FC Barcelona,€240K,87
Germany,L. Sané,https://cdn.sofifa.org/players/4/19/222492.png,Manchester City,€195K,86
Portugal,Bernardo Silva,https://cdn.sofifa.org/players/4/19/218667.png,Manchester City,€180K,86
Brazil,Ederson,https://cdn.sofifa.org/players/4/19/210257.png,Manchester City,€125K,86
Senegal,S. Mané,https://cdn.sofifa.org/players/4/19/208722.png,Liverpool,€195K,86
Netherlands,V. van Dijk,https://cdn.sofifa.org/players/4/19/203376.png,Liverpool,€165K,86
England,R. Sterling,https://cdn.sofifa.org/players/4/19/202652.png,Manchester City,€195K,86
Brazil,Roberto Firmino,https://cdn.sofifa.org/players/4/19/201942.png,Liverpool,€195K,86
France,R. Varane,https://cdn.sofifa.org/players/4/19/201535.png,Real Madrid,€210K,86
Italy,M. Verratti,https://cdn.sofifa.org/players/4/19/199556.png,Paris Saint-Germain,€135K,86
