Name,Photo,Overall,Potential,Value,Wage,Age,Height,Club,Nationality,League,Country,InternationalReputation
A. Abdennour,https://cdn.sofifa.org/players/4/19/198076.png,73,73,3.2,24,28,6'2,Olympique de Marseille,Tunisia,Ligue 1,France,2
A. Abedzadeh,https://cdn.sofifa.org/players/4/19/237419.png,72,77,3,6,25,6'1,Clube Sport Marítimo,Iran,Liga Nos,Portugal,1
A. Abrashi,https://cdn.sofifa.org/players/4/19/199282.png,71,71,1.9,15,28,5'8,SC Freiburg,Albania,Bundesliga,Germany,1
A. Absalem,https://cdn.sofifa.org/players/4/19/240680.png,64,72,NA,2,21,5'9,FC Groningen,Netherlands,Eredivisie,Netherlands,1
A. Acquah,https://cdn.sofifa.org/players/4/19/201223.png,73,74,4.6,12,26,5'10,Empoli,Ghana,Serie A,Italy,1
A. Ademoglu,https://cdn.sofifa.org/players/4/19/236374.png,58,75,NA,2,20,5'11,Bursaspor,Belgium,Süper Lig,Turkey,1
A. Adnan,https://cdn.sofifa.org/players/4/19/223198.png,72,75,3.9,16,24,6'1,Atalanta,Iraq,Serie A,Italy,1
A. Adouyev,https://cdn.sofifa.org/players/4/19/244477.png,62,79,NA,2,19,6'0,Montpellier HSC,France,Ligue 1,France,1
A. Aidonis,https://cdn.sofifa.org/players/4/19/246328.png,62,82,NA,2,17,NA,VfB Stuttgart,Germany,Bundesliga,Germany,NA
A. Akkaynak,https://cdn.sofifa.org/players/4/19/236996.png,63,78,NA,1,19,5'11,Willem II,Germany,Eredivisie,Netherlands,1
A. Aktas,https://cdn.sofifa.org/players/4/19/236468.png,54,74,NA,1,18,5'10,Stade de Reims,Turkey,Ligue 1,France,1
A. Amade,https://cdn.sofifa.org/players/4/19/242184.png,58,77,NA,2,18,5'7,TSG 1899 Hoffenheim,Germany,Bundesliga,Germany,1
A. Areola,https://cdn.sofifa.org/players/4/19/193105.png,81,85,16.5,61,25,6'5,Paris Saint-Germain,France,Ligue 1,France,2
A. Arroyo,https://cdn.sofifa.org/players/4/19/235252.png,65,69,NA,2,24,6'0,Santa Clara,Panama,Liga Nos,Portugal,1
A. Ba,https://cdn.sofifa.org/players/4/19/204826.png,73,75,3.9,15,27,6'6,Rayo Vallecano,Senegal,La Liga,Spain,1
A. Baba,https://cdn.sofifa.org/players/4/19/209620.png,74,79,6.5,56,23,5'10,FC Schalke 04,Ghana,Bundesliga,Germany,2
A. Babacan,https://cdn.sofifa.org/players/4/19/240041.png,61,76,NA,4,18,5'9,Galatasaray SK,Turkey,Süper Lig,Turkey,1
A. Bakir,https://cdn.sofifa.org/players/4/19/244140.png,58,76,NA,3,17,5'10,Borussia Dortmund,Germany,Bundesliga,Germany,1
A. Balić,https://cdn.sofifa.org/players/4/19/235874.png,70,77,2.5,11,20,5'11,Udinese,Croatia,Serie A,Italy,NA
A. Bamba,https://cdn.sofifa.org/players/4/19/199313.png,72,72,2.5,16,28,6'0,Angers SCO,Ivory Coast,Ligue 1,France,1
A. Bangoura,https://cdn.sofifa.org/players/4/19/203528.png,68,69,1.1,8,26,5'9,Rayo Vallecano,Guinea,La Liga,Spain,1
A. Bannink,https://cdn.sofifa.org/players/4/19/198144.png,66,66,NA,3,28,6'1,FC Emmen,Netherlands,Eredivisie,Netherlands,1
A. Barák,https://cdn.sofifa.org/players/4/19/236791.png,77,84,12.5,24,23,6'3,Udinese,Czech Republic,Serie A,Italy,1
A. Barillà,https://cdn.sofifa.org/players/4/19/173155.png,67,67,NA,13,30,5'11,Parma,Italy,Serie A,Italy,NA
A. Barkok,https://cdn.sofifa.org/players/4/19/236624.png,69,81,1.9,11,20,6'2,Fortuna Düsseldorf,Germany,Bundesliga,Germany,1
A. Barnes,https://cdn.sofifa.org/players/4/19/186905.png,76,76,8,55,28,6'1,Burnley,Austria,Premier League,UK,1
A. Barrada,https://cdn.sofifa.org/players/4/19/192274.png,75,75,6.5,18,29,5'10,Antalyaspor,Morocco,Süper Lig,Turkey,1
A. Barreca,https://cdn.sofifa.org/players/4/19/220493.png,75,80,7.5,42,23,5'11,AS Monaco,Italy,Ligue 1,France,1
A. Barzagli,https://cdn.sofifa.org/players/4/19/137186.png,84,84,4.2,95,37,6'2,Juventus,Italy,Serie A,Italy,3
A. Bastoni,https://cdn.sofifa.org/players/4/19/237383.png,67,87,1.5,7,19,6'3,Parma,Italy,Serie A,Italy,1
A. Bayındır,https://cdn.sofifa.org/players/4/19/243647.png,57,66,NA,1,20,6'6,MKE Ankaragücü,Turkey,Süper Lig,Turkey,1
A. Beck,https://cdn.sofifa.org/players/4/19/176687.png,74,74,3.7,26,31,5'11,VfB Stuttgart,Germany,Bundesliga,Germany,2
A. Beghetto,https://cdn.sofifa.org/players/4/19/235328.png,66,72,NA,4,23,5'10,Frosinone,Italy,Serie A,Italy,1
A. Begović,https://cdn.sofifa.org/players/4/19/172723.png,79,79,7.5,52,31,6'6,Bournemouth,Bosnia Herzegovina,Premier League,UK,NA
A. Behich,https://cdn.sofifa.org/players/4/19/202157.png,74,75,5,13,27,5'7,PSV,Australia,Eredivisie,Netherlands,1
A. Belotti,https://cdn.sofifa.org/players/4/19/208596.png,82,87,30,58,24,5'11,Torino,Italy,Serie A,Italy,3
A. Bernede,https://cdn.sofifa.org/players/4/19/234795.png,64,75,NA,6,19,5'10,Paris Saint-Germain,France,Ligue 1,France,1
A. Bertolacci,https://cdn.sofifa.org/players/4/19/192073.png,77,77,9,75,27,5'10,Milan,Italy,Serie A,Italy,2
A. Biyogo Poko,https://cdn.sofifa.org/players/4/19/205998.png,72,76,3.9,17,25,5'8,Göztepe SK,Gabon,Süper Lig,Turkey,1
A. Blin,https://cdn.sofifa.org/players/4/19/222982.png,72,80,4,13,21,6'0,Amiens SC,France,Ligue 1,France,1
A. Bobichon,https://cdn.sofifa.org/players/4/19/225855.png,68,74,1.2,7,22,5'11,Nîmes Olympique,France,Ligue 1,France,1
A. Bodzek,https://cdn.sofifa.org/players/4/19/177129.png,69,69,NA,12,32,6'0,Fortuna Düsseldorf,Poland,Bundesliga,Germany,1
A. Borgmann,https://cdn.sofifa.org/players/4/19/224661.png,64,67,NA,2,23,5'10,VVV-Venlo,Germany,Eredivisie,Netherlands,1
A. Boruc,https://cdn.sofifa.org/players/4/19/105846.png,74,74,NA,24,38,6'4,Bournemouth,Poland,Premier League,UK,2
A. Bouka Moutou,https://cdn.sofifa.org/players/4/19/184935.png,70,70,1.3,8,29,5'9,Dijon FCO,Congo,Ligue 1,France,1
A. Briançon,https://cdn.sofifa.org/players/4/19/223138.png,72,76,3.4,11,23,6'1,Nîmes Olympique,France,Ligue 1,France,1
A. Briseño,https://cdn.sofifa.org/players/4/19/192114.png,72,77,3.5,7,24,6'1,CD Feirense,Mexico,Liga Nos,Portugal,1
A. Büttner,https://cdn.sofifa.org/players/4/19/186982.png,73,73,3,12,29,5'9,Vitesse,Netherlands,Eredivisie,Netherlands,1
A. Büyük,https://cdn.sofifa.org/players/4/19/167753.png,72,72,2.9,11,30,5'10,Yeni Malatyaspor,Turkey,Süper Lig,Turkey,1
A. Caci,https://cdn.sofifa.org/players/4/19/236636.png,66,76,NA,4,21,6'0,RC Strasbourg Alsace,France,Ligue 1,France,1
A. Calabresi,https://cdn.sofifa.org/players/4/19/229574.png,71,79,3,15,22,6'1,Bologna,Italy,Serie A,Italy,1
A. Çalık,https://cdn.sofifa.org/players/4/19/223046.png,72,77,3.5,28,24,6'0,Galatasaray SK,Turkey,Süper Lig,Turkey,NA
A. Candreva,https://cdn.sofifa.org/players/4/19/173221.png,81,81,15.5,74,31,5'11,Inter,Italy,Serie A,Italy,3
A. Carroll,https://cdn.sofifa.org/players/4/19/182836.png,77,77,9,80,29,6'4,West Ham United,England,Premier League,UK,2
A. Ćatić,https://cdn.sofifa.org/players/4/19/246257.png,60,75,NA,1,19,5'10,PSV,Bosnia Herzegovina,Eredivisie,Netherlands,NA
A. Çelebi,https://cdn.sofifa.org/players/4/19/245369.png,59,73,NA,2,19,6'5,Beşiktaş JK,Turkey,Süper Lig,Turkey,NA
A. Cerci,https://cdn.sofifa.org/players/4/19/178393.png,74,74,5.5,21,30,5'11,MKE Ankaragücü,Italy,Süper Lig,Turkey,2
A. Cerri,https://cdn.sofifa.org/players/4/19/213829.png,72,80,4.6,54,22,6'4,Cagliari,Italy,Serie A,Italy,1
A. Çeviker,https://cdn.sofifa.org/players/4/19/223378.png,65,66,NA,4,28,5'10,Akhisar Belediyespor,Turkey,Süper Lig,Turkey,NA
A. Chedjou,https://cdn.sofifa.org/players/4/19/183284.png,74,74,2.3,20,33,6'0,Bursaspor,Cameroon,Süper Lig,Turkey,3
A. Christensen,https://cdn.sofifa.org/players/4/19/213661.png,81,88,21.5,91,22,6'2,Chelsea,Denmark,Premier League,UK,2
A. Ciciretti,https://cdn.sofifa.org/players/4/19/206160.png,74,78,7.5,44,24,5'7,Parma,Italy,Serie A,Italy,1
A. Ciranni,https://cdn.sofifa.org/players/4/19/224191.png,65,72,NA,2,22,5'9,Fortuna Sittard,Belgium,Eredivisie,Netherlands,1
A. Ciss,https://cdn.sofifa.org/players/4/19/245016.png,61,75,NA,1,18,5'11,Fortuna Sittard,Senegal,Eredivisie,Netherlands,1
A. Cissokho,https://cdn.sofifa.org/players/4/19/181455.png,70,70,1.3,9,30,5'11,Antalyaspor,France,Süper Lig,Turkey,2
A. Connolly,https://cdn.sofifa.org/players/4/19/237286.png,62,81,NA,4,18,5'10,Brighton & Hove Albion,Republic of Ireland,Premier League,UK,1
A. Consigli,https://cdn.sofifa.org/players/4/19/163489.png,82,82,13.5,52,31,6'2,Sassuolo,Italy,Serie A,Italy,2
A. Conti,https://cdn.sofifa.org/players/4/19/223329.png,75,79,8.5,58,24,6'0,Milan,Italy,Serie A,Italy,2
A. Ćorić,https://cdn.sofifa.org/players/4/19/229594.png,76,88,14,38,21,5'9,Roma,Croatia,Serie A,Italy,NA
A. Cornelius,https://cdn.sofifa.org/players/4/19/201943.png,75,79,8.5,26,25,6'4,FC Girondins de Bordeaux,Denmark,Ligue 1,France,2
A. Correa,https://cdn.sofifa.org/players/4/19/214997.png,81,87,24.5,54,23,5'7,Atlético Madrid,Argentina,La Liga,Spain,1
A. Coșelev,https://cdn.sofifa.org/players/4/19/222129.png,67,72,NA,2,24,6'7,Fortuna Sittard,Moldova,Eredivisie,Netherlands,NA
A. Cragno,https://cdn.sofifa.org/players/4/19/205659.png,78,84,10.5,21,24,6'0,Cagliari,Italy,Serie A,Italy,1
A. Cresswell,https://cdn.sofifa.org/players/4/19/189615.png,76,76,6,63,28,5'9,West Ham United,England,Premier League,UK,2
A. D'Alberto,https://cdn.sofifa.org/players/4/19/233849.png,67,72,NA,2,23,5'10,Moreirense FC,Belgium,Liga Nos,Portugal,1
A. Da Cruz,https://cdn.sofifa.org/players/4/19/230557.png,63,73,NA,6,21,6'0,Parma,Netherlands,Serie A,Italy,1
A. Dabo,https://cdn.sofifa.org/players/4/19/241403.png,62,86,NA,2,17,5'11,FC Nantes,France,Ligue 1,France,1
A. Dadakdeniz,https://cdn.sofifa.org/players/4/19/235932.png,62,75,NA,1,18,6'4,Bursaspor,Turkey,Süper Lig,Turkey,1
A. Damen,https://cdn.sofifa.org/players/4/19/223732.png,65,67,NA,2,28,6'1,Excelsior,Netherlands,Eredivisie,Netherlands,1
A. Damlu,https://cdn.sofifa.org/players/4/19/239477.png,54,71,NA,1,18,5'11,Yeni Malatyaspor,Turkey,Süper Lig,Turkey,1
A. Davies,https://cdn.sofifa.org/players/4/19/229372.png,60,71,NA,5,20,6'2,Fulham,Wales,Premier League,UK,1
A. Dávila,https://cdn.sofifa.org/players/4/19/241068.png,62,76,NA,3,19,5'10,Real Sociedad,Uruguay,La Liga,Spain,1
A. Deiola,https://cdn.sofifa.org/players/4/19/229743.png,64,73,NA,6,22,6'2,Parma,Italy,Serie A,Italy,1
A. Delort,https://cdn.sofifa.org/players/4/19/193983.png,76,77,9,30,26,5'11,Montpellier HSC,France,Ligue 1,France,2
A. Di Gaudio,https://cdn.sofifa.org/players/4/19/216079.png,74,74,5.5,39,28,5'7,Parma,Italy,Serie A,Italy,1
A. Di María,https://cdn.sofifa.org/players/4/19/183898.png,84,84,29.5,125,30,5'11,Paris Saint-Germain,Argentina,Ligue 1,France,4
A. Diaby,https://cdn.sofifa.org/players/4/19/202330.png,75,75,7,14,27,5'8,Sporting CP,Mali,Liga Nos,Portugal,1
A. Diakhaby,https://cdn.sofifa.org/players/4/19/234924.png,73,78,5.5,26,21,6'2,Huddersfield Town,France,Premier League,UK,1
A. Diallo,https://cdn.sofifa.org/players/4/19/225711.png,79,86,15,43,22,6'1,Borussia Dortmund,France,Bundesliga,Germany,2
A. Diallo1,https://cdn.sofifa.org/players/4/19/197233.png,71,75,2.1,14,26,6'3,Stade Rennais FC,Senegal,Ligue 1,France,1
A. Diawara,https://cdn.sofifa.org/players/4/19/230613.png,77,87,14,41,20,6'0,Napoli,Guinea,Serie A,Italy,2
A. Disasi,https://cdn.sofifa.org/players/4/19/229942.png,63,74,NA,2,20,6'3,Stade de Reims,France,Ligue 1,France,1
A. Djiku,https://cdn.sofifa.org/players/4/19/212219.png,76,82,9,18,23,6'0,Stade Malherbe Caen,France,Ligue 1,France,1
A. Dobos,https://cdn.sofifa.org/players/4/19/244230.png,65,79,1.1,1,18,5'9,Fortuna Sittard,Hungary,Eredivisie,Netherlands,1
A. Doğan,https://cdn.sofifa.org/players/4/19/243269.png,55,71,NA,1,16,5'11,Kayserispor,Turkey,Süper Lig,Turkey,NA
A. Donis,https://cdn.sofifa.org/players/4/19/227732.png,73,83,6.5,21,21,5'10,VfB Stuttgart,Greece,Bundesliga,Germany,1
A. Donnarumma,https://cdn.sofifa.org/players/4/19/201179.png,66,67,NA,15,27,6'4,Milan,Italy,Serie A,Italy,1
A. Doucouré,https://cdn.sofifa.org/players/4/19/208135.png,81,85,19.5,60,25,6'0,Watford,France,Premier League,UK,2
A. Dragović,https://cdn.sofifa.org/players/4/19/189060.png,77,77,7.5,50,27,6'1,Bayer 04 Leverkusen,Austria,Bundesliga,Germany,NA
A. Dreyer,https://cdn.sofifa.org/players/4/19/236918.png,66,78,1.2,9,20,5'8,Brighton & Hove Albion,Denmark,Premier League,UK,1
A. Duncan,https://cdn.sofifa.org/players/4/19/208535.png,75,80,8.5,42,25,5'10,Sassuolo,Ghana,Serie A,Italy,2
A. Dursun,https://cdn.sofifa.org/players/4/19/241688.png,61,75,NA,2,19,5'10,Trabzonspor,Turkey,Süper Lig,Turkey,1
A. Ekdal,https://cdn.sofifa.org/players/4/19/181318.png,76,76,7.5,34,28,6'1,Sampdoria,Sweden,Serie A,Italy,2
A. El Khayati,https://cdn.sofifa.org/players/4/19/200831.png,75,75,6.5,11,29,6'1,ADO Den Haag,Netherlands,Eredivisie,Netherlands,1
A. El Messaoudi,https://cdn.sofifa.org/players/4/19/220968.png,69,74,1.2,4,22,6'0,Fortuna Sittard,Morocco,Eredivisie,Netherlands,1
A. Eleftheriou,https://cdn.sofifa.org/players/4/19/234705.png,51,62,NA,5,20,5'8,Watford,England,Premier League,UK,1
A. Errico,https://cdn.sofifa.org/players/4/19/245536.png,57,70,NA,1,19,5'10,Frosinone,Italy,Serie A,Italy,1
A. Esswein,https://cdn.sofifa.org/players/4/19/189272.png,72,72,3.1,20,28,6'0,Hertha BSC,Germany,Bundesliga,Germany,2
A. Etemadi,https://cdn.sofifa.org/players/4/19/189718.png,64,64,NA,2,31,6'0,De Graafschap,Iran,Eredivisie,Netherlands,1
A. Favilli,https://cdn.sofifa.org/players/4/19/226468.png,69,81,1.9,30,21,6'3,Genoa,Italy,Serie A,Italy,1
A. Ferrari,https://cdn.sofifa.org/players/4/19/219852.png,70,75,2,13,24,6'0,Sampdoria,Italy,Serie A,Italy,1
A. Florenzi,https://cdn.sofifa.org/players/4/19/203551.png,82,83,20.5,73,27,5'8,Roma,Italy,Serie A,Italy,3
A. Fuchs,https://cdn.sofifa.org/players/4/19/239351.png,66,75,NA,5,21,6'0,1. FC Nürnberg,Germany,Bundesliga,Germany,1
A. Fulgini,https://cdn.sofifa.org/players/4/19/226789.png,74,82,8.5,15,21,6'0,Angers SCO,France,Ligue 1,France,1
A. Fulignati,https://cdn.sofifa.org/players/4/19/220720.png,68,75,NA,4,23,6'2,Empoli,Italy,Serie A,Italy,1
A. Georgen,https://cdn.sofifa.org/players/4/19/229194.png,63,80,NA,5,19,5'8,Paris Saint-Germain,France,Ligue 1,France,1
A. Georgiou,https://cdn.sofifa.org/players/4/19/233426.png,62,75,NA,9,21,5'10,Tottenham Hotspur,Cyprus,Premier League,UK,1
